[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,2291,1686,62,111,1176,740,640,492,24,20,97,155,137,80,42,52,97,95,176,176,43,49,210,187,213,134,1,90,1,30,1,99,1,1
0,1892,1724,92,162,1508,856,462,208,16,21,176,84,143,219,46,48,81,258,186,178,34,33,148,201,244,171,1,112,1,30,1,73,1,1
0,1550,2108,42,161,1041,1182,158,447,28,8,69,150,119,175,47,42,282,261,150,103,33,36,206,264,140,222,1,119,1,26,1,92,1,1
0,1420,1457,76,127,1364,932,577,342,16,18,72,170,122,154,47,46,52,298,232,127,33,40,245,262,121,182,1,100,1,22,1,131,1,1
0,1895,1565,96,110,254,554,614,435,23,38,157,53,177,197,35,53,123,128,196,113,44,51,204,153,157,222,1,81,1,33,1,136,1,1
0,2372,1381,157,151,1457,306,191,219,20,21,130,64,101,193,44,54,53,189,236,183,30,46,141,199,75,196,0,122,1,21,1,72,1,1
0,2398,2110,43,133,1091,188,546,409,21,39,108,118,98,119,55,36,155,298,131,234,52,27,158,165,132,78,1,82,1,33,1,70,1,1
0,2059,2187,29,101,1573,669,199,381,48,17,166,166,102,138,51,42,99,293,194,226,25,32,165,78,268,116,1,89,1,23,1,114,1,1
0,1273,1803,108,52,997,548,466,163,44,1,65,163,78,178,59,56,229,291,160,227,35,52,95,253,236,238,1,113,0,31,1,73,1,1
0.225,1800,2060,113,62,959,1090,299,359,23,47,134,188,154,146,30,44,283,101,104,157,35,50,70,249,205,250,1,126,1,25,1,123,1,1
0,2646,2602,80,123,520,420,318,314,44,41,152,190,134,108,34,39,87,74,186,151,41,30,200,108,125,217,1,97,1,31,1,110,1,1
0,2410,1559,151,98,1265,466,316,627,33,39,149,77,142,192,50,30,73,138,238,170,32,35,107,149,113,238,1,93,1,24,1,70,1,1
0,1919,1318,34,78,1512,1026,334,456,10,8,100,176,147,116,59,54,132,294,244,157,44,36,116,82,122,123,1,87,1,21,1,100,1,1
0,2544,1677,31,166,1390,524,412,205,5,42,108,145,212,108,30,31,228,282,166,152,40,50,195,112,224,96,1,114,1,31,1,88,1,1
0.865,2216,1321,142,63,248,1072,516,489,3,15,114,89,193,91,48,60,277,107,96,243,50,52,148,214,112,147,1,84,1,27,1,90,1,1
0.9,2449,2528,166,74,617,993,371,616,20,24,139,107,220,86,37,40,88,122,213,174,25,53,188,77,201,145,1,111,1,30,1,106,1,1
0.785,1794,2440,122,34,922,1386,434,238,26,38,63,169,96,151,42,37,213,60,210,175,50,40,72,94,228,167,1,96,1,35,1,132,1,1
0,2521,2674,133,149,1197,1008,509,508,2,26,165,82,141,136,42,34,182,163,196,178,25,25,205,207,261,244,1,115,1,23,1,75,1,1
0.005,1965,2690,33,51,556,1504,604,231,49,38,127,186,203,130,50,49,133,96,166,135,35,53,157,202,136,268,1,88,1,35,1,113,1,1
0,2445,2554,96,83,520,288,208,626,40,8,77,144,186,193,35,60,108,198,184,241,44,42,169,218,90,69,1,107,1,25,1,95,1,1
0.005,2508,1376,100,98,506,1507,603,372,5,10,87,119,122,187,44,56,300,106,188,223,52,33,210,68,245,82,1,138,1,23,1,113,1,1
0,2589,2179,35,131,405,156,425,557,43,5,145,153,115,217,38,32,181,225,133,147,41,51,214,107,119,174,1,114,1,29,1,107,1,1
0,2613,2376,65,86,529,1085,312,527,6,39,134,171,136,165,47,59,240,187,122,232,30,44,252,110,114,239,1,98,1,21,1,129,1,1
0,1433,1342,78,166,1513,1356,229,360,12,10,149,119,120,86,46,40,149,129,154,179,24,49,249,175,123,267,1,119,1,26,1,139,1,1
0,1589,1697,152,83,239,405,580,639,13,34,58,155,133,209,39,58,177,138,193,133,31,30,257,164,219,164,1,112,1,30,1,68,1,1
0.215,1844,2461,146,41,1519,893,448,353,32,44,147,192,176,194,31,50,215,76,222,188,27,42,161,112,73,142,1,96,1,32,1,120,1,1
0.96,2086,2362,163,83,748,1196,481,429,18,10,74,58,83,198,42,32,275,107,136,125,53,27,209,251,203,241,1,118,1,27,1,118,1,1
1,2031,1999,96,31,905,739,229,210,22,2,194,103,128,79,43,30,59,136,219,165,24,29,213,213,220,139,1,126,1,31,1,94,1,1
0.985,2575,1931,177,83,484,633,322,469,1,38,108,111,143,138,45,40,164,152,174,189,31,39,184,68,173,117,1,127,1,27,1,90,1,1
0.995,1567,1692,171,41,799,202,419,223,32,13,150,98,72,115,32,45,123,211,171,101,34,39,179,86,199,138,1,126,1,35,1,102,1,1
1,2216,2530,121,88,775,1403,326,183,22,50,103,75,78,97,40,47,217,62,236,131,28,40,201,126,203,128,1,131,1,22,1,67,1,1
0,2362,1329,59,39,381,683,396,608,31,35,58,89,220,155,54,31,72,78,98,234,32,54,213,115,267,243,1,87,1,20,1,72,1,1
0,1999,2110,68,94,312,877,177,174,34,3,124,86,99,157,39,44,86,83,112,107,41,47,223,257,103,96,1,129,1,28,1,96,1,1
0,1322,2125,136,135,359,611,355,360,6,19,122,153,156,132,58,48,295,268,197,231,54,31,203,249,72,229,1,133,1,22,1,128,1,1
0,1398,2499,92,159,1249,1373,385,507,16,2,81,46,125,145,31,30,223,76,107,170,46,53,124,89,83,111,1,76,1,22,1,93,1,1
0.005,1739.669531,1918.853569,146.5437989,34.16259765,383.89721,1229.43875,606.3696118,302.3480594,42.61313793,20.86269923,166.4859343,169.6745418,184.4404421,175.3449733,45.52580134,33.24869081,106.8921964,249.0627247,216.8025929,133.3673455,51.95893925,49.79454734,246.2768789,139.1498217,193.4919108,240.2655098,0.739015382,93.19021908,0.627605848,31.31084558,0.610179977,86.5476798,0.5,0.95617764
0.025,2092.980318,1579.88076,61.79790556,56.17364992,516.0628867,200.7329926,253.5744734,187.3995329,20.45427998,34.89969754,158.4486538,183.1611148,215.6011575,80.54744645,52.03584366,32.32286537,157.7559933,283.4202028,99.85079756,132.5959648,35.64806095,30.64195497,146.8920088,183.7785468,129.1928217,172.5117715,0.98,119.5278323,0.773876987,33.92976689,0.879574844,115.6536843,0.5,0.689962963
0.925,2239.355227,1837.779904,139.584982,70.86566121,1129.079771,143.1505847,190.4080612,568.6804278,31.00176658,45.15735055,87.84795509,168.348185,200.2017887,77.01916013,57.65063982,39.8103391,246.9165183,182.6876487,164.9982073,131.6098447,42.19078882,26.88278536,151.0041486,170.6617688,218.2582737,172.6680583,0.806932131,81.5509383,0.98,35.80886878,0.853238755,68.90872844,0.909373427,0.643340642
0.745,1840.562466,2627.983861,116.6950089,95.35576276,192.9402956,1096.645257,622.1594603,203.3788888,31.25911188,24.8430742,63.640183,83.49713335,218.5677653,75.23434293,31.73972205,33.72705675,242.7563977,166.4807699,208.3606887,220.5913257,35.70402763,41.5835361,235.2746602,128.143782,119.8807266,119.4047595,0.48,117.3222057,0.655917417,33.25950689,0.754340502,83.72137274,1,0.696944841
0,1777.631686,2548.829373,87.02444797,110.7378305,618.4301276,403.9867759,287.1028948,514.6010708,8.607651144,48.50325426,176.3698122,170.895171,126.9608453,129.6881453,53.41215206,53.05639641,104.4650023,266.46122,219.0022847,131.12933,33.70940724,40.7376242,75.07587268,181.4668965,145.9555914,155.1551187,0.552657273,100.4351433,0.48,35.16193601,0.726513999,141,0.637119329,0.5
0,2008.175881,2722.738256,32.30957309,58.13347337,137.887268,1196.48456,328.1096121,537.8382156,14.4029124,31.56612566,141.3707318,177.1817049,76.4154307,113.1118165,35.81598118,35.565276,207.4700596,132.5931694,154.7741941,191.0258515,34.76599615,35.3413372,204.4995869,219.72397,114.37998,212.9192382,0.808679211,124.9806801,0.98,25.19509219,0.858205653,108.7203369,0.923438628,0.5
0,1391.146768,2559.69732,172.0294968,146.387712,635.2036945,1282.271254,323.8911269,610.3844845,9.605959739,38.92779425,162.7728316,93.05691011,91.9550252,103.0694123,33.20350604,37.15730508,194.3543725,235.8810471,156.863245,132.4493753,48.34050704,49.55368048,151.8985874,214.160467,133.5758364,127.943296,0.571337544,91.53352321,0.627390148,22.43626788,1,90.30058754,0.71487561,0.966497914
0,1457.785094,1950.73208,156.3539237,141.3855619,507.026315,213.8324347,631.050934,610.1161668,13.39579,39.20467788,67.97869594,149.8150813,109.3307052,168.8932429,36.52791204,45.10113315,202.2883448,113.3147103,138.8563613,150.0136759,28.18677408,51.7633369,114.8890122,107.8328804,99.59435035,255.853665,0.729816741,104.4820949,0.836208065,20.09906076,0.544959353,115.0247069,0.823221773,0.642322251
0,2435.230183,2360.286962,150.0774589,114.8568105,1094.783651,585.9031415,297.4562862,159.3844256,15.40520714,48.95597935,66.73060954,118.6058356,97.07920586,199.0836924,47.71491581,34.26926917,264.1398544,291.937276,222.2922923,242.0307191,49.22076926,48.55033385,124.2921282,91.383008,199.0434307,163.500956,0.98,88.50246353,0.48,29.23376422,0.581106008,94.99115052,0.885467497,1
0,2111.642679,2122.341487,34.32547923,98.07297471,927.679881,1381.466129,448.5789646,417.4695657,22.08831001,20.84675135,126.8301804,160.6505895,185.6137797,189.2662998,43.41943232,34.3371834,283.5356567,98.1298901,122.6075777,109.2459636,40.37178224,36.0536328,157.0539248,164.8991385,238.0564422,260.2616604,0.98,108.1386572,0.786696655,26.18219221,0.82459935,120.0517564,0.605397887,1
0,2318.331964,1784.27412,101.4087661,42.06920908,1425.322016,748.822303,467.758966,566.2340062,45.9468997,35.18060856,185.1205382,169.9122139,74.31781979,209.375364,35.51767707,44.66330503,108.5444489,250.6930048,167.1990513,122.3712771,42.21221107,36.67181498,218.790344,72.80732589,189.5098451,197.0498871,0.480833616,85.10477593,0.957815808,22.45260015,0.633825494,75.62246949,0.930010997,0.892465133
0,2616.71105,2278.134074,132.5256429,125.2055723,1139.258481,218.4002405,356.1384263,410.6555023,40.49053063,2.571050983,74.81171907,165.5828578,213.7001626,162.1477191,52.60196777,33.68980992,163.080084,168.2858561,228.250177,149.5150673,43.96424144,49.69247665,170.3177554,148.1296271,197.9741909,141.219197,0.494967926,96.34078928,0.629896445,26.81906465,0.895566293,128.8354681,0.915550612,0.765659135
0.04,1811.22385,1405.940533,149.8597519,81.0203146,970.0186425,837.3863875,434.6115255,471.6383347,25.88534559,49.41415187,91.37542957,69.04163817,166.9806486,185.83859,47.00585865,45.88115997,62.39184561,82.11145889,101.43968,213.8751726,52.7240296,43.75471878,126.4437036,181.5309272,138.3623306,106.1309858,0.669768078,127.663598,0.870302687,21.63932135,0.583239298,105.4326389,1,0.651094838
0,2732.521955,1758.909217,173.5904604,74.02579694,331.1404159,1190.206448,313.2791847,319.4710266,25.53068167,23.40194445,112.4369601,73.97009516,71.61118185,150.8715639,30.35311698,33.70788669,260.4101675,237.3131413,184.0421032,245.5014873,32.03836997,27.86494187,142.312036,217.8029764,208.9193325,169.8202645,0.623791543,113.8834751,0.931327308,21.77871712,0.532842949,72.02963817,0.844826951,0.5
0,1450.250165,2217.926105,47.78798776,120.3762534,1226.407235,360.9839,467.5066612,278.4303713,37.0686701,39.21663915,86.93615688,153.9524605,125.3128608,166.356438,34.98142677,51.95026191,257.7826589,73.36191982,189.0278908,124.9629962,31.02927626,36.83925471,155.0400851,70.0313586,69.27336999,216.8857215,0.98,99.08005021,0.593367742,29.53434731,0.862169863,69.14800378,1,0.607853357
0,1381.719701,1685.849556,122.7107065,135.6744835,1115.404595,1457.619745,345.1216814,356.0977042,38.48047518,8.965575376,58.75998408,155.6563312,152.0885373,94.22602986,34.64138021,30.01261422,71.28672538,217.0334548,165.0985308,189.6689786,28.11757576,27.31813434,100.2732112,261.6004052,214.9864645,112.7792129,0.637903429,86.11535849,0.909084204,26.78252191,0.5,111.6093704,0.906253938,0.628821911
0.995,2515.26171,2412.758237,140.706956,43.15109966,947.4502109,456.8294457,306.4594287,267.8491837,28.43966231,37.07711251,69.08240419,149.1678272,106.7640134,129.9455427,52.94568731,48.77166358,173.0234012,72.91062131,211.7963021,146.5065258,46.1173691,26.42220324,118.7690104,174.7269458,118.0597777,74.69643531,0.892614502,118.0828791,0.98,35.45040141,1,108.9791446,0.963696233,0.879130733
0,1934.214306,1906.774732,95.82775853,152.4637481,1361.342741,840.9994362,358.2984779,256.1613082,8.509735596,6.935187565,149.2732777,179.8322449,160.5914522,110.2228411,33.85365489,33.94362777,249.4299249,121.8746049,214.4096439,205.465955,24.14461292,36.7344448,228.8111844,145.6134295,199.9563013,119.2929855,0.621507204,97.31592463,0.5555599,20.57223919,0.829209428,71.13875034,0.709929748,1
